State,State Code,District,Party,Candidate,Incumbent,Votes,Pct%,Elected,Won Party
California,CA,4th,Democratic,Thompson,Incumbent,176900,67.80%,TRUE,Democratic
California,CA,4th,Republician,Brock,/,84007,32.20%,FALSE,Democratic
California,CA,5th,Republician,McClintock,Incumbent,173524,61.30%,TRUE,Republician
California,CA,5th,Democratic,Barkley,/,109506,38.70%,FALSE,Republician
California,CA,6th,Democratic,Bera,Incumbent,121058,55.90%,TRUE,Democratic
California,CA,6th,Republician,Hamilton,/,95325,44.10%,FALSE,Democratic
California,CA,7th,Democratic,Matsui,Incumbent,150618,68.30%,TRUE,Democratic
California,CA,7th,Republician,Semenenko,/,70033,31.70%,FALSE,Democratic
California,CA,8th,Democratic,Garamendi,Incumbent,145501,75.70%,TRUE,Democratic
California,CA,8th,Republician,Recile,/,46634,24.30%,FALSE,Democratic
California,CA,9th,Democratic,Harder,Incumbent,95598,54.80%,TRUE,Democratic
California,CA,9th,Republician,Patti,/,78802,45.20%,FALSE,Democratic
California,CA,10th,Democratic,DeSaulnier,Incumbent,198415,78.90%,TRUE,Democratic
California,CA,10th,Green Party,Kerr,/,52965,21.10%,FALSE,Democratic
California,CA,11th,Democratic,Pelosi,Incumbent,220848,84.00%,TRUE,Democratic
California,CA,11th,Republician,Dennis,/,42217,16.00%,FALSE,Democratic
California,CA,12th,Democratic,Lee,Incumbent,217110,90.50%,TRUE,Democratic
California,CA,12th,Republician,Slauson,/,22859,9.50%,FALSE,Democratic
California,CA,13th,Republician,Duarte,/,67060,50.20%,TRUE,Republician
California,CA,13th,Democratic,Gray,/,66496,49.80%,FALSE,Republician
California,CA,14th,Democratic,Swalwell,Incumbent,137612,69.30%,TRUE,Democratic
California,CA,14th,Republician,Hayden,/,60852,30.70%,FALSE,Democratic
California,CA,15th,Democratic,Mullin,/,108077,55.50%,TRUE,Democratic
California,CA,15th,Democratic,Canepa,/,86797,44.50%,FALSE,Democratic
California,CA,16th,Democratic,Eshoo,Incumbent,139235,57.80%,TRUE,Democratic
California,CA,16th,Democratic,Kumar,/,101772,42.20%,FALSE,Democratic
California,CA,17th,Democratic,Khanna,Incumbent,127853,70.90%,TRUE,Democratic
California,CA,17th,Republician,Tandon,/,52400,29.10%,FALSE,Democratic
California,CA,18th,Democratic,Lofgren,Incumbent,99776,65.90%,TRUE,Democratic
California,CA,18th,Republician,Hernandez,/,51737,34.10%,FALSE,Democratic
California,CA,19th,Democratic,Panetta,Incumbent,194494,68.70%,TRUE,Democratic
California,CA,19th,Republician,Gorman,/,88816,31.30%,FALSE,Democratic
California,CA,20th,Republician,McCarthy,Incumbent,153844,67.20%,TRUE,Republician
California,CA,20th,Democratic,Wood,/,74932,32.80%,FALSE,Republician
California,CA,21st,Democratic,Costa,Incumbent,68074,54.20%,TRUE,Democratic
California,CA,21st,Republician,Maher,/,57573,45.80%,FALSE,Democratic
California,CA,22nd,Republician,Valadao,Incumbent,52993,51.50%,TRUE,Republician
California,CA,22nd,Democratic,Salas,/,49859,48.50%,FALSE,Republician
California,CA,23rd,Republician,Obernolte,Incumbent,103197,61.00%,TRUE,Republician
California,CA,23rd,Democratic,Marshall,/,65908,39.00%,FALSE,Republician
California,CA,24th,Democratic,Carbajal,Incumbent,159019,60.60%,TRUE,Democratic
California,CA,24th,Republician,Allen,/,103533,39.40%,FALSE,Democratic
California,CA,25th,Democratic,Ruiz,Incumbent,87641,57.40%,TRUE,Democratic
California,CA,25th,Republician,Hawkins,/,65101,42.60%,FALSE,Democratic
California,CA,26th,Democratic,Brownley,Incumbent,134575,54.50%,TRUE,Democratic
California,CA,26th,Republician,Jacobs,/,112214,45.50%,FALSE,Democratic
California,CA,27th,Republician,Garcia,Incumbent,104624,53.20%,TRUE,Republician
California,CA,27th,Democratic,Smith,/,91892,46.80%,FALSE,Republician
California,CA,28th,Democratic,Chu,Incumbent,150062,66.20%,TRUE,Democratic
California,CA,28th,Republician,Hallman,/,76495,33.80%,FALSE,Democratic
California,CA,29th,Democratic,Cardenas,Incumbent,69915,58.50%,TRUE,Democratic
California,CA,29th,Democratic,Duenas,/,49520,41.50%,FALSE,Democratic
California,CA,30th,Democratic,Schiff,Incumbent,150100,71.10%,TRUE,Democratic
California,CA,30th,Democratic,Pudlo,/,60968,28.90%,FALSE,Democratic
California,CA,31st,Democratic,Napolitano,Incumbent,91472,59.50%,TRUE,Democratic
California,CA,31st,Republician,Martinez,/,62153,40.50%,FALSE,Democratic
California,CA,32nd,Democratic,Sherman,Incumbent,167411,69.20%,TRUE,Democratic
California,CA,32nd,Republician,Volotzky,/,74618,30.80%,FALSE,Democratic
California,CA,33rd,Democratic,Aguilar,Incumbent,76588,57.70%,TRUE,Democratic
California,CA,33rd,Republician,Porter,/,56119,42.30%,FALSE,Democratic
California,CA,34th,Democratic,Gomez,Incumbent,62244,51.20%,TRUE,Democratic
California,CA,34th,Democratic,Kim,/,59223,48.80%,FALSE,Democratic
California,CA,35th,Democratic,Torres,Incumbent,75121,57.40%,TRUE,Democratic
California,CA,35th,Republician,Cargile,/,55832,42.60%,FALSE,Democratic
California,CA,36th,Democratic,Lieu,Incumbent,194299,69.80%,TRUE,Democratic
California,CA,36th,Republician,Collins,/,84264,30.20%,FALSE,Democratic
California,CA,37th,Democratic,Kamlager,/,84338,64.00%,TRUE,Democratic
California,CA,37th,Democratic,Perry,/,47542,36.00%,FALSE,Democratic
California,CA,38th,Democratic,Sanchez,Incumbent,101260,58.10%,TRUE,Democratic
California,CA,38th,Republician,Ching,/,73051,41.90%,FALSE,Democratic
California,CA,39th,Democratic,Takano,Incumbent,75896,57.70%,TRUE,Democratic
California,CA,39th,Republician,Smith,/,55701,42.30%,FALSE,Democratic
California,CA,40th,Republician,Kim,Incumbent,161589,56.80%,TRUE,Republician
California,CA,40th,Democratic,Mahmood,/,122722,43.20%,FALSE,Republician
California,CA,41st,Republician,Calvert,Incumbent,123869,52.30%,TRUE,Republician
California,CA,41st,Democratic,Rollins,/,112769,47.70%,FALSE,Republician
California,CA,42nd,Democratic,Garcia,/,99217,68.40%,TRUE,Democratic
California,CA,42nd,Republician,Briscoe,/,45903,31.60%,FALSE,Democratic
California,CA,43rd,Democratic,Waters,Incumbent,95462,77.30%,TRUE,Democratic
California,CA,43rd,Republician,Navarro,/,27985,22.70%,FALSE,Democratic
California,CA,44th,Democratic,Barragan,Incumbent,100160,72.20%,TRUE,Democratic
California,CA,44th,Republician,Jones,/,38554,27.80%,FALSE,Democratic
California,CA,45th,Republician,Steel,Incumbent,113960,52.40%,TRUE,Republician
California,CA,45th,Democratic,Chen,/,103466,47.60%,FALSE,Republician
California,CA,46th,Democratic,Correa,Incumbent,78041,61.80%,TRUE,Democratic
California,CA,46th,Republician,Gonzales,/,48257,38.20%,FALSE,Democratic
California,CA,47th,Democratic,Porter,Incumbent,137374,51.70%,TRUE,Democratic
California,CA,47th,Republician,Baugh,/,128261,48.30%,FALSE,Democratic
California,CA,48th,Republician,Issa,Incumbent,155171,60.40%,TRUE,Republician
California,CA,48th,Democratic,Houlahan,/,101900,39.60%,FALSE,Republician
California,CA,49th,Democratic,Levin,Incumbent,153541,52.60%,TRUE,Democratic
California,CA,49th,Republician,Maryott,/,138194,47.40%,FALSE,Democratic
California,CA,50th,Democratic,Peters,Incumbent,168816,62.80%,TRUE,Democratic
California,CA,50th,Republician,Gustafson,/,99819,37.20%,FALSE,Democratic
California,CA,51st,Democratic,Jacobs,Incumbent,144186,61.90%,TRUE,Democratic
California,CA,51st,Republician,Caplan,/,88886,38.10%,FALSE,Democratic
California,CA,52nd,Democratic,Vargas,Incumbent,100686,66.70%,TRUE,Democratic
California,CA,52nd,Republician,Geffeney,/,50330,33.30%,FALSE,Democratic
Colorado,CO,1st,Democratic,DeGette,Incumbent,226929,80.30%,TRUE,Democratic
Colorado,CO,1st,Republician,Qualteri,/,49530,17.50%,FALSE,Democratic
Colorado,CO,1st,Libertarian Party,Kittleson,/,6157,2.20%,FALSE,Democratic
Colorado,CO,2nd,Democratic,Neguse,Incumbent,244107,70.00%,TRUE,Democratic
Colorado,CO,2nd,Republician,Dawson,/,97700,28.00%,FALSE,Democratic
Colorado,CO,2nd,Other Party,Yurash,/,2876,0.80%,FALSE,Democratic
Colorado,CO,2nd,Other Party,Nation,/,2188,0.60%,FALSE,Democratic
Colorado,CO,2nd,Other Party,Wolf,/,1968,0.60%,FALSE,Democratic
Colorado,CO,3rd,Republician,Boebert,Incumbent,163839,50.10%,TRUE,Republician
Colorado,CO,3rd,Democratic,Frisch,/,163293,49.90%,FALSE,Republician
Colorado,CO,4th,Republician,Buck,Incumbent,216024,60.90%,TRUE,Republician
Colorado,CO,4th,Democratic,McCorkle,/,129619,36.60%,FALSE,Republician
Colorado,CO,4th,Other Party,McGonigal,/,8870,2.50%,FALSE,Republician
Colorado,CO,5th,Republician,Lamborn,Incumbent,155528,56.00%,TRUE,Republician
Colorado,CO,5th,Democratic,Torres,/,111978,40.30%,FALSE,Republician
Colorado,CO,5th,Libertarian Party,Flanagan,/,7079,2.50%,FALSE,Republician
Colorado,CO,5th,Other Party,Mitchell,/,3370,1.20%,FALSE,Republician
Colorado,CO,6th,Democratic,Crow,Incumbent,170140,60.60%,TRUE,Democratic
Colorado,CO,6th,Republician,Monahan,/,105084,37.40%,FALSE,Democratic
Colorado,CO,6th,Libertarian Party,Mulder,/,5531,2.00%,FALSE,Democratic
Colorado,CO,7th,Democratic,Pettersen,/,204984,56.40%,TRUE,Democratic
Colorado,CO,7th,Republician,Aadland,/,150510,41.40%,FALSE,Democratic
Colorado,CO,7th,Libertarian Party,Klopf,/,6187,1.70%,FALSE,Democratic
Colorado,CO,7th,Other Party,Milton,/,1828,0.50%,FALSE,Democratic
Colorado,CO,8th,Democratic,Caraveo,/,114377,48.40%,TRUE,Democratic
Colorado,CO,8th,Republician,Kirkmeyer,/,112745,47.70%,FALSE,Democratic
Colorado,CO,8th,Libertarian Party,Ward,/,9280,3.90%,FALSE,Democratic
Connecticut,CT,1st,Democratic,Larson,Incumbent,150355,61.40%,TRUE,Democratic
Connecticut,CT,1st,Republician,Lazor,/,91536,37.40%,FALSE,Democratic
Connecticut,CT,1st,Green Party,Sanders,/,2848,1.20%,FALSE,Democratic
Connecticut,CT,2nd,Democratic,Courtney,Incumbent,165947,58.20%,TRUE,Democratic
Connecticut,CT,2nd,Republician,France,/,114504,40.20%,FALSE,Democratic
Connecticut,CT,2nd,Green Party,Blacker,/,2437,0.90%,FALSE,Democratic
Connecticut,CT,2nd,Libertarian Party,Hall,/,2140,0.80%,FALSE,Democratic
Connecticut,CT,3rd,Democratic,DeLauro,Incumbent,137924,56.80%,TRUE,Democratic
Connecticut,CT,3rd,Republician,DeNardis,/,98704,40.70%,FALSE,Democratic
Connecticut,CT,3rd,Independent Party,Chai,/,4056,1.70%,FALSE,Democratic
Connecticut,CT,3rd,Green Party,Paglino,/,1967,0.80%,FALSE,Democratic
Connecticut,CT,4th,Democratic,Himes,Incumbent,140246,59.50%,TRUE,Democratic
Connecticut,CT,4th,Republician,Stevenson,/,95518,40.50%,FALSE,Democratic
Connecticut,CT,5th,Democratic,Hayes,Incumbent,127795,50.40%,TRUE,Democratic
Connecticut,CT,5th,Republician,Logan,/,125834,49.60%,FALSE,Democratic
Delaware,DE,At Large,Democratic,Lisa Rochester,Incumbent,178416,55.50%,TRUE,Democratic
Delaware,DE,At Large,Republician,Lee Murphy,/,138201,43.00%,FALSE,Democratic
Delaware,DE,At Large,Libertarian Party,Cody McNutt,/,3074,1.00%,FALSE,Democratic
Delaware,DE,At Large,Other Party,David Rogers,/,1958,0.60%,FALSE,Democratic
Florida,FL,1st,Republician,Gaetz,Incumbent,197320,67.90%,TRUE,Republician
Florida,FL,1st,Democratic,Jones,/,93416,32.10%,FALSE,Republician
Florida,FL,2nd,Republician,Dunn,Incumbent,180218,59.80%,TRUE,Republician
Florida,FL,2nd,Democratic,Lawson,Incumbent,121120,40.20%,FALSE,Republician
Florida,FL,3rd,Republician,Cammack,Incumbent,178090,62.50%,TRUE,Republician
Florida,FL,3rd,Democratic,Hawk,/,103342,36.30%,FALSE,Republician
Florida,FL,3rd,Other Party,Brooks,/,3410,1.20%,FALSE,Republician
Florida,FL,4th,Republician,Bean,/,165678,60.50%,TRUE,Republician
Florida,FL,4th,Democratic,Holloway,/,108358,39.50%,FALSE,Republician
Florida,FL,5th,Republician,Rutherford,Incumbent,0,0%,TRUE,Republician
Florida,FL,6th,Republician,Waltz,Incumbent,226490,75.30%,TRUE,Republician
Florida,FL,6th,Libertarian Party,Hannoush,/,74173,24.70%,FALSE,Republician
Florida,FL,7th,Republician,Mills,/,177957,58.50%,TRUE,Republician
Florida,FL,7th,Democratic,Green,/,126052,41.50%,FALSE,Republician
Florida,FL,8th,Republician,Posey,Incumbent,222119,64.90%,TRUE,Republician
Florida,FL,8th,Democratic,Terry,/,120050,35.10%,FALSE,Republician
Florida,FL,9th,Democratic,Soto,Incumbent,108522,53.60%,TRUE,Democratic
Florida,FL,9th,Republician,Moore,/,93815,46.40%,FALSE,Democratic
Florida,FL,10th,Democratic,Frost,/,117929,59.00%,TRUE,Democratic
Florida,FL,10th,Republician,Wimbish,/,78838,39.40%,FALSE,Democratic
Florida,FL,10th,Other Party,Holic,/,2001,1.00%,FALSE,Democratic
Florida,FL,10th,Other Party,Jain,/,1110,0.60%,FALSE,Democratic
Florida,FL,11th,Republician,Webster,Incumbent,205989,63.10%,TRUE,Republician
Florida,FL,11th,Democratic,Munns,/,115629,35.40%,FALSE,Republician
Florida,FL,11th,Other Party,Porter,/,4967,1.50%,FALSE,Republician
Florida,FL,12th,Republician,Bilirakis,Incumbent,226579,70.40%,TRUE,Republician
Florida,FL,12th,Democratic,Walker,/,95368,29.60%,FALSE,Republician
Florida,FL,13th,Republician,Luna,/,181473,53.10%,TRUE,Republician
Florida,FL,13th,Democratic,Lynn,/,153839,45.10%,FALSE,Republician
Florida,FL,13th,Libertarian Party,Craft,/,6158,1.80%,FALSE,Republician
Florida,FL,14th,Democratic,Castor,Incumbent,149689,56.90%,TRUE,Democratic
Florida,FL,14th,Republician,Judge,/,113408,43.10%,FALSE,Democratic
Florida,FL,15th,Republician,Lee,/,145211,58.50%,TRUE,Republician
Florida,FL,15th,Democratic,Cohn,/,102816,41.50%,FALSE,Republician
Florida,FL,16th,Republician,Buchanan,Incumbent,189738,62.20%,TRUE,Republician
Florida,FL,16th,Democratic,Schneider,/,115537,37.80%,FALSE,Republician
Florida,FL,17th,Republician,Steube,Incumbent,222433,63.80%,TRUE,Republician
Florida,FL,17th,Democratic,Kale,/,123739,35.50%,FALSE,Republician
Florida,FL,17th,Other Party,Murray,/,2222,0.60%,FALSE,Republician
Florida,FL,18th,Republician,Franklin,Incumbent,167393,74.70%,TRUE,Republician
Florida,FL,18th,Other Party,Hayden,/,56622,25.30%,FALSE,Republician
Florida,FL,19th,Republician,Donalds,Incumbent,213032,68.00%,TRUE,Republician
Florida,FL,19th,Democratic,Banyai,/,100198,32.00%,FALSE,Republician
Florida,FL,20th,Democratic,Cherfilus-McCormick,Incumbent,136192,72.30%,TRUE,Democratic
Florida,FL,20th,Republician,Clark,/,52150,27.70%,FALSE,Democratic
Florida,FL,21st,Republician,Mast,Incumbent,208592,63.50%,TRUE,Republician
Florida,FL,21st,Democratic,Balderramos Robinson,/,119859,36.50%,FALSE,Republician
Florida,FL,22nd,Democratic,Frankel,Incumbent,149977,55.10%,TRUE,Democratic
Florida,FL,22nd,Republician,Franzese,/,122187,44.90%,FALSE,Democratic
Florida,FL,23rd,Democratic,Moskowitz,/,143897,51.60%,TRUE,Democratic
Florida,FL,23rd,Republician,Budd,/,130669,46.80%,FALSE,Democratic
Florida,FL,23rd,Other Party,Scott,/,3079,1.10%,FALSE,Democratic
Florida,FL,23rd,Other Party,Napier,/,1338,0.50%,FALSE,Democratic
Florida,FL,24th,Democratic,Wilson,Incumbent,133416,71.80%,TRUE,Democratic
Florida,FL,24th,Republician,Navarro,/,52442,28.20%,FALSE,Democratic
Florida,FL,25th,Democratic,Wasserman Schultz,Incumbent,129085,55.10%,TRUE,Democratic
Florida,FL,25th,Republician,Spalding,/,105227,44.90%,FALSE,Democratic
Florida,FL,26th,Republician,Diaz-Balart,Incumbent,143226,70.90%,TRUE,Republician
Florida,FL,26th,Democratic,Olivo,/,58838,29.10%,FALSE,Republician
Florida,FL,27th,Republician,Salazar,Incumbent,136031,57.30%,TRUE,Republician
Florida,FL,27th,Democratic,Taddeo,/,101370,42.70%,FALSE,Republician
Florida,FL,28th,Republician,Gimenez,Incumbent,134456,63.70%,TRUE,Republician
Florida,FL,28th,Democratic,Asencio,/,76647,36.30%,FALSE,Republician
Georgia,GA,1st,Republician,Carter,Incumbent,156016,59.20%,TRUE,Republician
Georgia,GA,1st,Democratic,Herring,/,107662,40.80%,FALSE,Republician
Georgia,GA,2nd,Democratic,Bishop,Incumbent,132501,55.00%,TRUE,Democratic
Georgia,GA,2nd,Republician,West,/,108579,45.00%,FALSE,Democratic
Georgia,GA,3rd,Republician,Ferguson,Incumbent,213461,68.80%,TRUE,Republician
Georgia,GA,3rd,Democratic,Almonord,/,96799,31.20%,FALSE,Republician
Georgia,GA,4th,Democratic,Johnson,Incumbent,216247,78.50%,TRUE,Democratic
Georgia,GA,4th,Republician,Chavez,/,59272,21.50%,FALSE,Democratic
Georgia,GA,5th,Democratic,Williams,Incumbent,243471,82.50%,TRUE,Democratic
Georgia,GA,5th,Republician,Zimm,/,51754,17.50%,FALSE,Democratic
Georgia,GA,6th,Republician,McCormick,/,206783,62.20%,TRUE,Republician
Georgia,GA,6th,Democratic,Christian,/,125552,37.80%,FALSE,Republician
Georgia,GA,7th,Democratic,McBath,Incumbent,142852,61.00%,TRUE,Democratic
Georgia,GA,7th,Republician,Gonsalves,/,91195,39.00%,FALSE,Democratic
Georgia,GA,8th,Republician,Scott,Incumbent,178601,68.60%,TRUE,Republician
Georgia,GA,8th,Democratic,Butler,/,81773,31.40%,FALSE,Republician
Georgia,GA,9th,Republician,Clyde,Incumbent,212672,72.40%,TRUE,Republician
Georgia,GA,9th,Democratic,Ford,/,81206,27.60%,FALSE,Republician
Georgia,GA,10th,Republician,Collins,/,198413,64.50%,TRUE,Republician
Georgia,GA,10th,Democratic,Johnson-Green,/,109075,35.50%,FALSE,Republician
Georgia,GA,11th,Republician,Loudermilk,Incumbent,190035,62.60%,TRUE,Republician
Georgia,GA,11th,Democratic,Daza,/,113535,37.40%,FALSE,Republician
Georgia,GA,12th,Republician,Allen,Incumbent,157951,59.60%,TRUE,Republician
Georgia,GA,12th,Democratic,Johnson,/,107089,40.40%,FALSE,Republician
Georgia,GA,13th,Democratic,Scott,Incumbent,216150,81.80%,TRUE,Democratic
Georgia,GA,13th,Republician,Gonzales,/,48209,18.20%,FALSE,Democratic
Georgia,GA,14th,Republician,Greene,Incumbent,170003,65.90%,TRUE,Republician
Georgia,GA,14th,Democratic,Flowers,/,88074,34.10%,FALSE,Republician
Hawaii,HI,1st,Democratic,Case,Incumbent,142742,73.70%,TRUE,Democratic
Hawaii,HI,1st,Republician,Kress,/,50833,26.30%,FALSE,Democratic
Hawaii,HI,2nd,Democratic,Tokuda,/,127995,62.30%,TRUE,Democratic
Hawaii,HI,2nd,Republician,Akana,/,72455,35.20%,FALSE,Democratic
Hawaii,HI,2nd,Libertarian Party,Tippens,/,5108,2.50%,FALSE,Democratic
Idaho,ID,1st,Republician,Fulcher,Incumbent,222891,71.30%,TRUE,Republician
Idaho,ID,1st,Democratic,Peterson,/,82261,26.30%,FALSE,Republician
Idaho,ID,1st,Libertarian Party,Drake,/,7274,2.30%,FALSE,Republician
Idaho,ID,2nd,Republician,Simpson,Incumbent,172456,63.60%,TRUE,Republician
Idaho,ID,2nd,Democratic,Norman,/,98635,36.40%,FALSE,Republician
Illinois,IL,1st,Democratic,Jackson,/,151468,66.30%,TRUE,Democratic
Illinois,IL,1st,Republician,Carlson,/,77146,33.70%,FALSE,Democratic
Illinois,IL,2nd,Democratic,Kelly,Incumbent,137854,66.80%,TRUE,Democratic
Illinois,IL,2nd,Republician,Lynch,/,68369,33.20%,FALSE,Democratic
Illinois,IL,3rd,Democratic,Ramirez,/,111799,67.00%,TRUE,Democratic
Illinois,IL,3rd,Republician,Burau,/,55063,33.00%,FALSE,Democratic
Illinois,IL,4th,Democratic,Garcia,Incumbent,87987,68.00%,TRUE,Democratic
Illinois,IL,4th,Republician,Falakos,/,36960,28.60%,FALSE,Democratic
Illinois,IL,4th,Other Party,Hershey,/,4435,3.40%,FALSE,Democratic
Illinois,IL,5th,Democratic,Quigley,Incumbent,172040,67.90%,TRUE,Democratic
Illinois,IL,5th,Republician,Hanson,/,77185,30.50%,FALSE,Democratic
Illinois,IL,5th,Independent Party,Cruz,/,4135,1.60%,FALSE,Democratic
Illinois,IL,6th,Democratic,Casten,Incumbent,148279,54.10%,TRUE,Democratic
Illinois,IL,6th,Republician,Pekau,/,125625,45.90%,FALSE,Democratic
Illinois,IL,7th,Democratic,Davis,Incumbent,0,0%,TRUE,Democratic
Illinois,IL,8th,Democratic,Krishnamoorthi,Incumbent,117475,56.90%,TRUE,Democratic
Illinois,IL,8th,Republician,Dargis,/,89151,43.10%,FALSE,Democratic
Illinois,IL,9th,Democratic,Schakowsky,Incumbent,169009,70.90%,TRUE,Democratic
Illinois,IL,9th,Republician,Rice,/,69324,29.10%,FALSE,Democratic
Illinois,IL,10th,Democratic,Schneider,Incumbent,144489,62.30%,TRUE,Democratic
Illinois,IL,10th,Republician,Severino,/,87528,37.70%,FALSE,Democratic
Illinois,IL,11th,Democratic,Foster,Incumbent,145303,56.10%,TRUE,Democratic
Illinois,IL,11th,Republician,Lauf,/,113650,43.90%,FALSE,Democratic
Illinois,IL,12th,Republician,Bost,Incumbent,213438,75.40%,TRUE,Republician
Illinois,IL,12th,Democratic,Markel,/,69581,24.60%,FALSE,Republician
Illinois,IL,13th,Democratic,Budzinski,/,136123,55.90%,TRUE,Democratic
Illinois,IL,13th,Republician,Deering,/,107357,44.10%,FALSE,Democratic
Illinois,IL,14th,Democratic,Underwood,Incumbent,127458,54.10%,TRUE,Democratic
Illinois,IL,14th,Republician,Gryder,/,108045,45.90%,FALSE,Democratic
Illinois,IL,15th,Republician,Miller,Incumbent,209191,71.40%,TRUE,Republician
Illinois,IL,15th,Democratic,Lange,/,83765,28.60%,FALSE,Republician
Illinois,IL,16th,Republician,LaHood,Incumbent,196009,66.60%,TRUE,Republician
Illinois,IL,16th,Democratic,Haderlein,/,98188,33.40%,FALSE,Republician
